pruning_variant,priority_policy,portfolio_mode,trading_session,net_pnl
overlay_keep_representatives_only,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2026-03-19,144.01999999999998
overlay_keep_representatives_only,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2026-03-20,97.52
overlay_keep_representatives_only,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2026-03-23,130.76
overlay_keep_representatives_only,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2026-03-24,38.019999999999996
overlay_keep_representatives_only,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2026-03-25,164.26
overlay_keep_representatives_only,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2026-03-26,167.02
overlay_keep_representatives_only,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2026-03-27,-128.74
overlay_keep_representatives_only,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2026-03-30,-136.96
overlay_keep_representatives_only,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2026-03-31,32.52000000000001
overlay_keep_representatives_only,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2026-04-01,127.26
overlay_keep_representatives_only,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2026-04-02,-59.24
overlay_keep_representatives_only,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2026-04-06,60.519999999999996
overlay_keep_representatives_only,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2026-04-07,41.76
overlay_keep_representatives_only,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2026-04-08,-114.47999999999999
overlay_keep_representatives_only,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2026-04-10,93.52000000000001
overlay_keep_representatives_only,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2026-04-13,-23.459999999999997
overlay_keep_representatives_only,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2026-04-14,139.01999999999998
overlay_keep_representatives_only,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2026-04-15,160.02
overlay_keep_representatives_only,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2026-04-16,244.01999999999998
overlay_keep_representatives_only,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2026-04-17,109.76
overlay_keep_representatives_only,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2026-04-21,59.80000000000001
overlay_keep_representatives_only,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2026-04-22,241.51999999999998
overlay_keep_representatives_only,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2026-04-23,146.02
overlay_keep_representatives_only,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2026-04-24,93.76
overlay_keep_representatives_only,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2026-04-27,-139.22
overlay_keep_representatives_only,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2026-04-28,-114.87
overlay_keep_representatives_only,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2026-04-29,34.85000000000001
overlay_keep_representatives_only,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2026-04-30,416.03999999999996
overlay_keep_representatives_only,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2026-05-01,-168.54
overlay_keep_representatives_only,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2026-05-04,59.76000000000002
overlay_keep_representatives_only,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2026-05-05,-109.35
overlay_keep_representatives_only,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2026-05-06,192.51999999999998
overlay_keep_representatives_only,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2026-05-07,78.52
overlay_keep_representatives_only,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2026-05-08,-0.24
overlay_keep_representatives_only,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2026-05-11,-188.72
overlay_keep_representatives_only,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2026-05-12,203.51999999999998
overlay_keep_representatives_only,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2026-05-13,0.76
overlay_keep_representatives_only,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2026-05-14,160.26
overlay_keep_representatives_only,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2026-05-15,238.26
overlay_keep_representatives_only,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2026-05-18,214.27999999999997
overlay_keep_representatives_only,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2026-05-19,113.51
overlay_keep_representatives_only,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2026-05-20,95.01999999999998
overlay_keep_representatives_only,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2026-05-21,99.53
overlay_keep_representatives_only,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2026-05-22,71.26
overlay_keep_representatives_only,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2026-05-25,-36.67
overlay_keep_representatives_only,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2026-05-26,19.040000000000003
overlay_keep_representatives_only,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2026-05-27,-43.72000000000002
overlay_keep_representatives_only,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2026-05-28,96.76
overlay_keep_representatives_only,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2026-05-29,-114.53
overlay_keep_representatives_only,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2026-06-01,-91.82
overlay_keep_representatives_only,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2026-06-02,-61.79999999999998
overlay_keep_representatives_only,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2026-06-03,305.78
overlay_keep_representatives_only,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2026-06-04,226.26
overlay_keep_representatives_only,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2026-06-05,289.76
overlay_keep_representatives_only,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2026-06-08,-66.74
overlay_keep_representatives_only,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2026-06-09,-37.74
overlay_keep_representatives_only,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2026-06-10,519.78
overlay_keep_representatives_only,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2026-06-11,141.01999999999998
overlay_keep_representatives_only,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2026-06-12,392.76
overlay_keep_representatives_only,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2026-06-15,-0.74
overlay_keep_representatives_only,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2026-06-16,703.04
overlay_keep_representatives_only,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2026-06-17,-76.24
overlay_keep_representatives_only,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2026-06-18,12.76
overlay_keep_representatives_only,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2026-06-22,-247.14000000000004
overlay_keep_representatives_only,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2026-06-23,442.26
overlay_keep_representatives_only,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2026-06-24,-83.48
overlay_keep_representatives_only,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2026-06-25,90.01999999999998
overlay_keep_representatives_only,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2026-06-29,736.78
overlay_keep_representatives_only,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2026-06-30,76.52
overlay_keep_representatives_only,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2026-07-01,78.52000000000001
overlay_keep_representatives_only,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2026-07-02,-92.74
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2025-07-15,45.26
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2025-07-16,-15.74
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2025-07-17,-83.9
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2025-07-18,-17.24
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2025-07-21,38.26
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2025-07-22,-42.24
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2025-07-23,-70.24
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2025-07-24,15.76
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2025-07-25,102.76
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2025-07-28,55.26
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2025-07-29,-10.24
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2025-07-30,76.76
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2025-07-31,-129.7
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2025-08-01,-72.24
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2025-08-04,-10.74
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2025-08-05,-79.74
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2025-08-06,-20.74
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2025-08-07,-113.36
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2025-08-08,-30.74
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2025-08-11,40.76
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2025-08-12,122.76
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2025-08-13,-77.38
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2025-08-14,-18.24
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2025-08-15,-126.74
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2025-08-18,-31.24
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2025-08-19,8.76
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2025-08-20,-281.37
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2025-08-21,-157.74
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2025-08-22,195.26
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2025-08-25,99.76
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2025-08-26,61.01
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2025-08-27,-61.74
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2025-08-28,84.76
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2025-08-29,25.76
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2025-09-02,147.76
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2025-09-03,87.76
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2025-09-04,-15.74
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2025-09-05,-124.7
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2025-09-09,-31.74
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2025-09-10,13.76
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2025-09-11,6.26
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2025-09-12,45.26
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2025-09-15,-12.74
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2025-09-16,-24.74
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2025-09-17,-51.74
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2025-09-18,82.26
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2025-09-19,-1.74
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2025-09-22,52.01
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2025-09-23,-24.24
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2025-09-24,-57.24
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2025-09-25,122.26
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2025-09-26,-13.74
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2025-09-29,29.26
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2025-09-30,-116.24
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2025-10-01,-16.24
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2025-10-02,24.26
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2025-10-03,-41.24
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2025-10-06,-62.24
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2025-10-07,-14.74
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2025-10-08,-39.53
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2025-10-09,-23.24
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2025-10-10,-9.24
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2025-10-13,143.26
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2025-10-14,-81.74
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2025-10-15,128.26
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2025-10-16,-7.74
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2025-10-17,169.76
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2025-10-20,91.26
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2025-10-21,-48.74
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2025-10-22,-31.24
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2025-10-24,-9.24
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2025-10-27,-89.79
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2025-10-28,-84.24
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2025-10-29,25.76
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2025-10-30,-223.74
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2025-10-31,-17.24
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2025-11-03,77.26
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2025-11-05,-57.74
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2025-11-06,-89.24
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2025-11-07,134.26
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2025-11-10,-20.74
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2025-11-11,-32.74
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2025-11-12,-153.6
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2025-11-13,-209.54
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2025-11-14,186.76
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2025-11-17,-91.24
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2025-11-18,-217.24
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2025-11-19,-25.74
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2025-11-20,-175.42
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2025-11-21,-172.24
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2025-11-24,114.76
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2025-11-25,-41.74
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2025-11-26,133.26
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2025-11-27,6.26
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2025-11-28,61.76
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2025-12-01,-15.74
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2025-12-02,-131.4
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2025-12-03,-58.74
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2025-12-04,-136.74
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2025-12-05,49.26
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2025-12-08,-15.74
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2025-12-09,-11.74
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2025-12-10,1.26
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2025-12-11,-13.24
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2025-12-12,-147.74
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2025-12-16,-31.74
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2025-12-17,34.26
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2025-12-18,-174.26
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2025-12-19,-163.81
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2025-12-22,-132.92
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2025-12-23,56.76
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2025-12-24,-0.74
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2025-12-26,-44.24
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2025-12-29,-23.74
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2025-12-30,-34.24
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2026-01-02,-156.4
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2026-01-06,-17.24
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2026-01-07,16.26
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2026-01-08,6.76
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2026-01-09,272.76
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2026-01-12,-35.24
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2026-01-13,-30.24
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2026-01-14,85.76
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2026-01-15,65.26
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2026-01-16,-91.24
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2026-01-19,65.76
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2026-01-20,-71.74
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2026-01-21,41.26
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2026-01-22,64.76
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2026-01-23,157.76
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2026-01-26,29.76
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2026-01-27,45.76
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2026-01-28,-124.88
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2026-01-29,-170.74
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2026-01-30,-130.24
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2026-02-03,37.26
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2026-02-04,-248.24
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2026-02-05,-367.74
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2026-02-06,90.26
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2026-02-09,174.76
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2026-02-10,-92.24
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2026-02-11,173.51
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2026-02-12,-47.24
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2026-02-13,72.76
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2026-02-16,-90.74
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2026-02-17,-188.24
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2026-02-18,81.26
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2026-02-19,122.76
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2026-02-20,155.26
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2026-02-23,115.26
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2026-02-24,120.26
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2026-02-25,-78.74
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2026-02-26,-106.24
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2026-02-27,203.26
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2026-03-02,-45.74
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2026-03-04,301.76
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2026-03-05,86.26
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2026-03-06,215.26
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2026-03-09,91.01
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2026-03-10,64.76
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2026-03-11,-16.74
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2026-03-12,-122.74
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2026-03-13,-58.24
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2026-03-16,-33.74
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2026-03-17,-123.63
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2026-03-18,-64.24
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2026-03-19,219.76
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2026-03-20,-71.74
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2026-03-23,130.76
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2026-03-24,53.76
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2026-03-25,164.26
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2026-03-26,63.76
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2026-03-27,-128.74
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2026-03-30,-136.96
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2026-03-31,-82.24
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2026-04-01,127.26
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2026-04-02,-59.24
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2026-04-06,18.76
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2026-04-07,41.76
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2026-04-08,-85.74
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2026-04-10,107.26
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2026-04-13,-56.24
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2026-04-14,133.26
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2026-04-15,70.26
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2026-04-16,84.26
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2026-04-17,109.76
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2026-04-21,161.26
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2026-04-22,218.76
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2026-04-23,102.26
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2026-04-24,93.76
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2026-04-27,-56.24
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2026-04-28,-76.13
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2026-04-29,83.76
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2026-04-30,245.26
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2026-05-01,-168.54
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2026-05-04,72.76
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2026-05-05,-109.35
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2026-05-06,162.76
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2026-05-07,187.76
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2026-05-08,-0.24
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2026-05-11,-188.72
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2026-05-12,-101.74
overlay_keep_representatives_only,hybrid_validation_then_correlation,max_one_trade_per_session,2026-05-13,0.76
