scheduler_variant,portfolio_mode,regime_filter,signals,signal_keys,net_pnl,validation_pnl,holdout_pnl,walk_forward_stress_pnl,positive_wf_test_folds_pct,worst_wf_test_fold,trades,active_days,max_drawdown,best_day_concentration,best_trade_concentration,top_3_day_concentration,top_5_trade_concentration,skipped_overlap_count,skipped_session_count,rejected_trade_count,weak_fold_count,weak_fold_pnl,improvement_vs_portfolio_audit_d_best,fold_delta_vs_portfolio_audit_d_best,best_day_concentration_delta_vs_portfolio_audit_d_best,best_trade_concentration_delta_vs_portfolio_audit_d_best,activity_delta_vs_portfolio_audit_d_best,official_gates_changed,paper_trading_approved,diagnostic_only_no_signals_generated
phase13a_first,one_trade_at_a_time_chronological,exclude_high_vol_mixed_days,10,phase15a::MNQ_15a_trend_day_late_pullback_continuation_short_ema20_pullback_resume_close_confirm_fill_next_open_hard_stop_time_exit;phase12a::MNQ_12a_odpullback_long_first_pullback_OD15_ema20_retest_two_bar_resume_fill_next_open_hard_stop_time_exit;phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_first_touch_only_mt1;phase15a::MNQ_15a_power_hour_continuation_long_power_range_breakout_continuation_close_confirm_fill_next_open_hard_stop_time_exit;phase14a::MNQ_14a_prior_rth_close_rejection_from_level_long_two_bar_confirm_fill_next_open_structure_target_time_exit;phase11a::MNQ_11a_orfade_long_low_fade_OR5_opening_response_two_bar_inside_fill_next_open_hard_stop_time_exit;phase11a::MNQ_11a_orfade_long_low_fade_OR5_midday_response_close_back_inside_fill_next_open_hard_stop_time_exit;phase11a::MNQ_11a_orfade_short_high_fade_OR30_opening_response_two_bar_inside_fill_next_open_hard_stop_time_exit;phase14a::MNQ_14a_prior_rth_midpoint_rejection_from_level_short_close_confirm_fill_next_open_structure_target_time_exit;phase10b::MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf5_opening_response_all_ranges_all_gaps_all_touches_mt1,5078.97,1720.06,3355.85,4899.97,0.666667,-705.6,505,179,-1438.57,0.173271,0.114346,0.430426,0.469347,69,0,69,2,-912.0,-2987.64,0.0,0.064174,0.022392,-66,False,False,True
phase13a_first,one_trade_at_a_time_chronological,exclude_high_vol_mixed_no_power_expand_days,10,phase15a::MNQ_15a_trend_day_late_pullback_continuation_short_ema20_pullback_resume_close_confirm_fill_next_open_hard_stop_time_exit;phase12a::MNQ_12a_odpullback_long_first_pullback_OD15_ema20_retest_two_bar_resume_fill_next_open_hard_stop_time_exit;phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_first_touch_only_mt1;phase15a::MNQ_15a_power_hour_continuation_long_power_range_breakout_continuation_close_confirm_fill_next_open_hard_stop_time_exit;phase14a::MNQ_14a_prior_rth_close_rejection_from_level_long_two_bar_confirm_fill_next_open_structure_target_time_exit;phase11a::MNQ_11a_orfade_long_low_fade_OR5_opening_response_two_bar_inside_fill_next_open_hard_stop_time_exit;phase11a::MNQ_11a_orfade_long_low_fade_OR5_midday_response_close_back_inside_fill_next_open_hard_stop_time_exit;phase11a::MNQ_11a_orfade_short_high_fade_OR30_opening_response_two_bar_inside_fill_next_open_hard_stop_time_exit;phase14a::MNQ_14a_prior_rth_midpoint_rejection_from_level_short_close_confirm_fill_next_open_structure_target_time_exit;phase10b::MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf5_opening_response_all_ranges_all_gaps_all_touches_mt1,4705.03,1789.38,3459.72,4500.03,0.666667,-1420.97,587,205,-1762.43,0.187042,0.123434,0.464635,0.506649,80,0,80,2,-2408.34,-3361.58,0.0,0.077945,0.03148,-40,False,False,True
phase13a_first,one_trade_at_a_time_chronological,exclude_high_vol_mixed_power_expand_days,10,phase15a::MNQ_15a_trend_day_late_pullback_continuation_short_ema20_pullback_resume_close_confirm_fill_next_open_hard_stop_time_exit;phase12a::MNQ_12a_odpullback_long_first_pullback_OD15_ema20_retest_two_bar_resume_fill_next_open_hard_stop_time_exit;phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_first_touch_only_mt1;phase15a::MNQ_15a_power_hour_continuation_long_power_range_breakout_continuation_close_confirm_fill_next_open_hard_stop_time_exit;phase14a::MNQ_14a_prior_rth_close_rejection_from_level_long_two_bar_confirm_fill_next_open_structure_target_time_exit;phase11a::MNQ_11a_orfade_long_low_fade_OR5_opening_response_two_bar_inside_fill_next_open_hard_stop_time_exit;phase11a::MNQ_11a_orfade_long_low_fade_OR5_midday_response_close_back_inside_fill_next_open_hard_stop_time_exit;phase11a::MNQ_11a_orfade_short_high_fade_OR30_opening_response_two_bar_inside_fill_next_open_hard_stop_time_exit;phase14a::MNQ_14a_prior_rth_midpoint_rejection_from_level_short_close_confirm_fill_next_open_structure_target_time_exit;phase10b::MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf5_opening_response_all_ranges_all_gaps_all_touches_mt1,8440.55,1820.26,7176.56,8221.55,0.666667,-356.7,597,219,-1257.55,0.104263,0.087881,0.272448,0.34089,85,0,85,2,-371.01,373.94,0.0,-0.004834,-0.004073,-26,False,False,True
phase13a_first,one_trade_at_a_time_chronological,exclude_overlap_heavy_days,10,phase15a::MNQ_15a_trend_day_late_pullback_continuation_short_ema20_pullback_resume_close_confirm_fill_next_open_hard_stop_time_exit;phase12a::MNQ_12a_odpullback_long_first_pullback_OD15_ema20_retest_two_bar_resume_fill_next_open_hard_stop_time_exit;phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_first_touch_only_mt1;phase15a::MNQ_15a_power_hour_continuation_long_power_range_breakout_continuation_close_confirm_fill_next_open_hard_stop_time_exit;phase14a::MNQ_14a_prior_rth_close_rejection_from_level_long_two_bar_confirm_fill_next_open_structure_target_time_exit;phase11a::MNQ_11a_orfade_long_low_fade_OR5_opening_response_two_bar_inside_fill_next_open_hard_stop_time_exit;phase11a::MNQ_11a_orfade_long_low_fade_OR5_midday_response_close_back_inside_fill_next_open_hard_stop_time_exit;phase11a::MNQ_11a_orfade_short_high_fade_OR30_opening_response_two_bar_inside_fill_next_open_hard_stop_time_exit;phase14a::MNQ_14a_prior_rth_midpoint_rejection_from_level_short_close_confirm_fill_next_open_structure_target_time_exit;phase10b::MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf5_opening_response_all_ranges_all_gaps_all_touches_mt1,1631.64,640.77,753.6,1585.64,0.833333,-266.63,51,46,-354.61,0.251747,0.251747,0.617036,0.894376,0,0,0,1,-266.63,-6434.97,0.166666,0.14265,0.159793,-199,False,False,True
phase13a_first,one_trade_at_a_time_chronological,no_filter_baseline,10,phase15a::MNQ_15a_trend_day_late_pullback_continuation_short_ema20_pullback_resume_close_confirm_fill_next_open_hard_stop_time_exit;phase12a::MNQ_12a_odpullback_long_first_pullback_OD15_ema20_retest_two_bar_resume_fill_next_open_hard_stop_time_exit;phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_first_touch_only_mt1;phase15a::MNQ_15a_power_hour_continuation_long_power_range_breakout_continuation_close_confirm_fill_next_open_hard_stop_time_exit;phase14a::MNQ_14a_prior_rth_close_rejection_from_level_long_two_bar_confirm_fill_next_open_structure_target_time_exit;phase11a::MNQ_11a_orfade_long_low_fade_OR5_opening_response_two_bar_inside_fill_next_open_hard_stop_time_exit;phase11a::MNQ_11a_orfade_long_low_fade_OR5_midday_response_close_back_inside_fill_next_open_hard_stop_time_exit;phase11a::MNQ_11a_orfade_short_high_fade_OR30_opening_response_two_bar_inside_fill_next_open_hard_stop_time_exit;phase14a::MNQ_14a_prior_rth_midpoint_rejection_from_level_short_close_confirm_fill_next_open_structure_target_time_exit;phase10b::MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf5_opening_response_all_ranges_all_gaps_all_touches_mt1,8066.61,1889.58,7280.43,7821.61,0.666667,-886.99,679,245,-1643.27,0.109097,0.091954,0.285078,0.356693,96,0,96,2,-1386.98,0.0,0.0,0.0,0.0,0,False,False,True
phase14a_first,max_one_trade_per_session,exclude_high_vol_mixed_days,10,phase15a::MNQ_15a_trend_day_late_pullback_continuation_short_ema20_pullback_resume_close_confirm_fill_next_open_hard_stop_time_exit;phase12a::MNQ_12a_odpullback_long_first_pullback_OD15_ema20_retest_two_bar_resume_fill_next_open_hard_stop_time_exit;phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_first_touch_only_mt1;phase15a::MNQ_15a_power_hour_continuation_long_power_range_breakout_continuation_close_confirm_fill_next_open_hard_stop_time_exit;phase14a::MNQ_14a_prior_rth_close_rejection_from_level_long_two_bar_confirm_fill_next_open_structure_target_time_exit;phase11a::MNQ_11a_orfade_long_low_fade_OR5_opening_response_two_bar_inside_fill_next_open_hard_stop_time_exit;phase11a::MNQ_11a_orfade_long_low_fade_OR5_midday_response_close_back_inside_fill_next_open_hard_stop_time_exit;phase11a::MNQ_11a_orfade_short_high_fade_OR30_opening_response_two_bar_inside_fill_next_open_hard_stop_time_exit;phase14a::MNQ_14a_prior_rth_midpoint_rejection_from_level_short_close_confirm_fill_next_open_structure_target_time_exit;phase10b::MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf5_opening_response_all_ranges_all_gaps_all_touches_mt1,2682.86,959.08,2593.76,2503.86,0.666667,-1008.02,179,179,-1794.04,0.21647,0.21647,0.516531,0.750431,0,395,395,2,-1393.03,-1025.66,0.333334,0.016455,0.016455,-66,False,False,True
phase14a_first,max_one_trade_per_session,exclude_high_vol_mixed_no_power_expand_days,10,phase15a::MNQ_15a_trend_day_late_pullback_continuation_short_ema20_pullback_resume_close_confirm_fill_next_open_hard_stop_time_exit;phase12a::MNQ_12a_odpullback_long_first_pullback_OD15_ema20_retest_two_bar_resume_fill_next_open_hard_stop_time_exit;phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_first_touch_only_mt1;phase15a::MNQ_15a_power_hour_continuation_long_power_range_breakout_continuation_close_confirm_fill_next_open_hard_stop_time_exit;phase14a::MNQ_14a_prior_rth_close_rejection_from_level_long_two_bar_confirm_fill_next_open_structure_target_time_exit;phase11a::MNQ_11a_orfade_long_low_fade_OR5_opening_response_two_bar_inside_fill_next_open_hard_stop_time_exit;phase11a::MNQ_11a_orfade_long_low_fade_OR5_midday_response_close_back_inside_fill_next_open_hard_stop_time_exit;phase11a::MNQ_11a_orfade_short_high_fade_OR30_opening_response_two_bar_inside_fill_next_open_hard_stop_time_exit;phase14a::MNQ_14a_prior_rth_midpoint_rejection_from_level_short_close_confirm_fill_next_open_structure_target_time_exit;phase10b::MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf5_opening_response_all_ranges_all_gaps_all_touches_mt1,1504.24,1240.91,2014.8,1299.24,0.666667,-1742.47,205,205,-2181.33,0.386082,0.386082,0.921249,1.338417,0,462,462,2,-2441.81,-2204.28,0.333334,0.186067,0.186067,-40,False,False,True
phase14a_first,max_one_trade_per_session,exclude_high_vol_mixed_power_expand_days,10,phase15a::MNQ_15a_trend_day_late_pullback_continuation_short_ema20_pullback_resume_close_confirm_fill_next_open_hard_stop_time_exit;phase12a::MNQ_12a_odpullback_long_first_pullback_OD15_ema20_retest_two_bar_resume_fill_next_open_hard_stop_time_exit;phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_first_touch_only_mt1;phase15a::MNQ_15a_power_hour_continuation_long_power_range_breakout_continuation_close_confirm_fill_next_open_hard_stop_time_exit;phase14a::MNQ_14a_prior_rth_close_rejection_from_level_long_two_bar_confirm_fill_next_open_structure_target_time_exit;phase11a::MNQ_11a_orfade_long_low_fade_OR5_opening_response_two_bar_inside_fill_next_open_hard_stop_time_exit;phase11a::MNQ_11a_orfade_long_low_fade_OR5_midday_response_close_back_inside_fill_next_open_hard_stop_time_exit;phase11a::MNQ_11a_orfade_short_high_fade_OR30_opening_response_two_bar_inside_fill_next_open_hard_stop_time_exit;phase14a::MNQ_14a_prior_rth_midpoint_rejection_from_level_short_close_confirm_fill_next_open_structure_target_time_exit;phase10b::MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf5_opening_response_all_ranges_all_gaps_all_touches_mt1,4887.14,1060.18,5170.54,4668.14,0.666667,-1083.51,219,219,-1801.84,0.151778,0.151778,0.391288,0.565832,0,463,463,2,-1426.7,1178.62,0.333334,-0.048237,-0.048237,-26,False,False,True
phase14a_first,max_one_trade_per_session,exclude_overlap_heavy_days,10,phase15a::MNQ_15a_trend_day_late_pullback_continuation_short_ema20_pullback_resume_close_confirm_fill_next_open_hard_stop_time_exit;phase12a::MNQ_12a_odpullback_long_first_pullback_OD15_ema20_retest_two_bar_resume_fill_next_open_hard_stop_time_exit;phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_first_touch_only_mt1;phase15a::MNQ_15a_power_hour_continuation_long_power_range_breakout_continuation_close_confirm_fill_next_open_hard_stop_time_exit;phase14a::MNQ_14a_prior_rth_close_rejection_from_level_long_two_bar_confirm_fill_next_open_structure_target_time_exit;phase11a::MNQ_11a_orfade_long_low_fade_OR5_opening_response_two_bar_inside_fill_next_open_hard_stop_time_exit;phase11a::MNQ_11a_orfade_long_low_fade_OR5_midday_response_close_back_inside_fill_next_open_hard_stop_time_exit;phase11a::MNQ_11a_orfade_short_high_fade_OR30_opening_response_two_bar_inside_fill_next_open_hard_stop_time_exit;phase14a::MNQ_14a_prior_rth_midpoint_rejection_from_level_short_close_confirm_fill_next_open_structure_target_time_exit;phase10b::MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf5_opening_response_all_ranges_all_gaps_all_touches_mt1,1683.34,595.25,753.6,1637.34,0.833333,-266.63,46,46,-344.61,0.244015,0.244015,0.598085,0.866907,0,5,5,1,-266.63,-2025.18,0.5,0.044,0.044,-199,False,False,True
phase14a_first,max_one_trade_per_session,no_filter_baseline,10,phase15a::MNQ_15a_trend_day_late_pullback_continuation_short_ema20_pullback_resume_close_confirm_fill_next_open_hard_stop_time_exit;phase12a::MNQ_12a_odpullback_long_first_pullback_OD15_ema20_retest_two_bar_resume_fill_next_open_hard_stop_time_exit;phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_first_touch_only_mt1;phase15a::MNQ_15a_power_hour_continuation_long_power_range_breakout_continuation_close_confirm_fill_next_open_hard_stop_time_exit;phase14a::MNQ_14a_prior_rth_close_rejection_from_level_long_two_bar_confirm_fill_next_open_structure_target_time_exit;phase11a::MNQ_11a_orfade_long_low_fade_OR5_opening_response_two_bar_inside_fill_next_open_hard_stop_time_exit;phase11a::MNQ_11a_orfade_long_low_fade_OR5_midday_response_close_back_inside_fill_next_open_hard_stop_time_exit;phase11a::MNQ_11a_orfade_short_high_fade_OR30_opening_response_two_bar_inside_fill_next_open_hard_stop_time_exit;phase14a::MNQ_14a_prior_rth_midpoint_rejection_from_level_short_close_confirm_fill_next_open_structure_target_time_exit;phase10b::MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf5_opening_response_all_ranges_all_gaps_all_touches_mt1,3708.52,1342.01,4591.58,3463.52,0.333333,-1216.97,245,245,-2585.66,0.200015,0.200015,0.515645,0.745661,0,530,530,4,-2257.84,0.0,0.0,0.0,0.0,0,False,False,True
phase14a_first,one_trade_at_a_time_chronological,exclude_high_vol_mixed_days,10,phase15a::MNQ_15a_trend_day_late_pullback_continuation_short_ema20_pullback_resume_close_confirm_fill_next_open_hard_stop_time_exit;phase12a::MNQ_12a_odpullback_long_first_pullback_OD15_ema20_retest_two_bar_resume_fill_next_open_hard_stop_time_exit;phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_first_touch_only_mt1;phase15a::MNQ_15a_power_hour_continuation_long_power_range_breakout_continuation_close_confirm_fill_next_open_hard_stop_time_exit;phase14a::MNQ_14a_prior_rth_close_rejection_from_level_long_two_bar_confirm_fill_next_open_structure_target_time_exit;phase11a::MNQ_11a_orfade_long_low_fade_OR5_opening_response_two_bar_inside_fill_next_open_hard_stop_time_exit;phase11a::MNQ_11a_orfade_long_low_fade_OR5_midday_response_close_back_inside_fill_next_open_hard_stop_time_exit;phase11a::MNQ_11a_orfade_short_high_fade_OR30_opening_response_two_bar_inside_fill_next_open_hard_stop_time_exit;phase14a::MNQ_14a_prior_rth_midpoint_rejection_from_level_short_close_confirm_fill_next_open_structure_target_time_exit;phase10b::MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf5_opening_response_all_ranges_all_gaps_all_touches_mt1,5078.97,1720.06,3355.85,4899.97,0.666667,-705.6,505,179,-1438.57,0.173271,0.114346,0.430426,0.469347,69,0,69,2,-912.0,-2987.64,0.0,0.064174,0.022392,-66,False,False,True
phase14a_first,one_trade_at_a_time_chronological,exclude_high_vol_mixed_no_power_expand_days,10,phase15a::MNQ_15a_trend_day_late_pullback_continuation_short_ema20_pullback_resume_close_confirm_fill_next_open_hard_stop_time_exit;phase12a::MNQ_12a_odpullback_long_first_pullback_OD15_ema20_retest_two_bar_resume_fill_next_open_hard_stop_time_exit;phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_first_touch_only_mt1;phase15a::MNQ_15a_power_hour_continuation_long_power_range_breakout_continuation_close_confirm_fill_next_open_hard_stop_time_exit;phase14a::MNQ_14a_prior_rth_close_rejection_from_level_long_two_bar_confirm_fill_next_open_structure_target_time_exit;phase11a::MNQ_11a_orfade_long_low_fade_OR5_opening_response_two_bar_inside_fill_next_open_hard_stop_time_exit;phase11a::MNQ_11a_orfade_long_low_fade_OR5_midday_response_close_back_inside_fill_next_open_hard_stop_time_exit;phase11a::MNQ_11a_orfade_short_high_fade_OR30_opening_response_two_bar_inside_fill_next_open_hard_stop_time_exit;phase14a::MNQ_14a_prior_rth_midpoint_rejection_from_level_short_close_confirm_fill_next_open_structure_target_time_exit;phase10b::MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf5_opening_response_all_ranges_all_gaps_all_touches_mt1,4705.03,1789.38,3459.72,4500.03,0.666667,-1420.97,587,205,-1762.43,0.187042,0.123434,0.464635,0.506649,80,0,80,2,-2408.34,-3361.58,0.0,0.077945,0.03148,-40,False,False,True
phase14a_first,one_trade_at_a_time_chronological,exclude_high_vol_mixed_power_expand_days,10,phase15a::MNQ_15a_trend_day_late_pullback_continuation_short_ema20_pullback_resume_close_confirm_fill_next_open_hard_stop_time_exit;phase12a::MNQ_12a_odpullback_long_first_pullback_OD15_ema20_retest_two_bar_resume_fill_next_open_hard_stop_time_exit;phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_first_touch_only_mt1;phase15a::MNQ_15a_power_hour_continuation_long_power_range_breakout_continuation_close_confirm_fill_next_open_hard_stop_time_exit;phase14a::MNQ_14a_prior_rth_close_rejection_from_level_long_two_bar_confirm_fill_next_open_structure_target_time_exit;phase11a::MNQ_11a_orfade_long_low_fade_OR5_opening_response_two_bar_inside_fill_next_open_hard_stop_time_exit;phase11a::MNQ_11a_orfade_long_low_fade_OR5_midday_response_close_back_inside_fill_next_open_hard_stop_time_exit;phase11a::MNQ_11a_orfade_short_high_fade_OR30_opening_response_two_bar_inside_fill_next_open_hard_stop_time_exit;phase14a::MNQ_14a_prior_rth_midpoint_rejection_from_level_short_close_confirm_fill_next_open_structure_target_time_exit;phase10b::MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf5_opening_response_all_ranges_all_gaps_all_touches_mt1,8440.55,1820.26,7176.56,8221.55,0.666667,-356.7,597,219,-1257.55,0.104263,0.087881,0.272448,0.34089,85,0,85,2,-371.01,373.94,0.0,-0.004834,-0.004073,-26,False,False,True
phase14a_first,one_trade_at_a_time_chronological,exclude_overlap_heavy_days,10,phase15a::MNQ_15a_trend_day_late_pullback_continuation_short_ema20_pullback_resume_close_confirm_fill_next_open_hard_stop_time_exit;phase12a::MNQ_12a_odpullback_long_first_pullback_OD15_ema20_retest_two_bar_resume_fill_next_open_hard_stop_time_exit;phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_first_touch_only_mt1;phase15a::MNQ_15a_power_hour_continuation_long_power_range_breakout_continuation_close_confirm_fill_next_open_hard_stop_time_exit;phase14a::MNQ_14a_prior_rth_close_rejection_from_level_long_two_bar_confirm_fill_next_open_structure_target_time_exit;phase11a::MNQ_11a_orfade_long_low_fade_OR5_opening_response_two_bar_inside_fill_next_open_hard_stop_time_exit;phase11a::MNQ_11a_orfade_long_low_fade_OR5_midday_response_close_back_inside_fill_next_open_hard_stop_time_exit;phase11a::MNQ_11a_orfade_short_high_fade_OR30_opening_response_two_bar_inside_fill_next_open_hard_stop_time_exit;phase14a::MNQ_14a_prior_rth_midpoint_rejection_from_level_short_close_confirm_fill_next_open_structure_target_time_exit;phase10b::MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf5_opening_response_all_ranges_all_gaps_all_touches_mt1,1631.64,640.77,753.6,1585.64,0.833333,-266.63,51,46,-354.61,0.251747,0.251747,0.617036,0.894376,0,0,0,1,-266.63,-6434.97,0.166666,0.14265,0.159793,-199,False,False,True
phase14a_first,one_trade_at_a_time_chronological,no_filter_baseline,10,phase15a::MNQ_15a_trend_day_late_pullback_continuation_short_ema20_pullback_resume_close_confirm_fill_next_open_hard_stop_time_exit;phase12a::MNQ_12a_odpullback_long_first_pullback_OD15_ema20_retest_two_bar_resume_fill_next_open_hard_stop_time_exit;phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_first_touch_only_mt1;phase15a::MNQ_15a_power_hour_continuation_long_power_range_breakout_continuation_close_confirm_fill_next_open_hard_stop_time_exit;phase14a::MNQ_14a_prior_rth_close_rejection_from_level_long_two_bar_confirm_fill_next_open_structure_target_time_exit;phase11a::MNQ_11a_orfade_long_low_fade_OR5_opening_response_two_bar_inside_fill_next_open_hard_stop_time_exit;phase11a::MNQ_11a_orfade_long_low_fade_OR5_midday_response_close_back_inside_fill_next_open_hard_stop_time_exit;phase11a::MNQ_11a_orfade_short_high_fade_OR30_opening_response_two_bar_inside_fill_next_open_hard_stop_time_exit;phase14a::MNQ_14a_prior_rth_midpoint_rejection_from_level_short_close_confirm_fill_next_open_structure_target_time_exit;phase10b::MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf5_opening_response_all_ranges_all_gaps_all_touches_mt1,8066.61,1889.58,7280.43,7821.61,0.666667,-886.99,679,245,-1643.27,0.109097,0.091954,0.285078,0.356693,96,0,96,2,-1386.98,0.0,0.0,0.0,0.0,0,False,False,True
phase15a_first,max_one_trade_per_session,exclude_high_vol_mixed_days,10,phase15a::MNQ_15a_trend_day_late_pullback_continuation_short_ema20_pullback_resume_close_confirm_fill_next_open_hard_stop_time_exit;phase12a::MNQ_12a_odpullback_long_first_pullback_OD15_ema20_retest_two_bar_resume_fill_next_open_hard_stop_time_exit;phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_first_touch_only_mt1;phase15a::MNQ_15a_power_hour_continuation_long_power_range_breakout_continuation_close_confirm_fill_next_open_hard_stop_time_exit;phase14a::MNQ_14a_prior_rth_close_rejection_from_level_long_two_bar_confirm_fill_next_open_structure_target_time_exit;phase11a::MNQ_11a_orfade_long_low_fade_OR5_opening_response_two_bar_inside_fill_next_open_hard_stop_time_exit;phase11a::MNQ_11a_orfade_long_low_fade_OR5_midday_response_close_back_inside_fill_next_open_hard_stop_time_exit;phase11a::MNQ_11a_orfade_short_high_fade_OR30_opening_response_two_bar_inside_fill_next_open_hard_stop_time_exit;phase14a::MNQ_14a_prior_rth_midpoint_rejection_from_level_short_close_confirm_fill_next_open_structure_target_time_exit;phase10b::MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf5_opening_response_all_ranges_all_gaps_all_touches_mt1,2682.86,959.08,2593.76,2503.86,0.666667,-1008.02,179,179,-1794.04,0.21647,0.21647,0.516531,0.750431,0,395,395,2,-1393.03,-1025.66,0.333334,0.016455,0.016455,-66,False,False,True
phase15a_first,max_one_trade_per_session,exclude_high_vol_mixed_no_power_expand_days,10,phase15a::MNQ_15a_trend_day_late_pullback_continuation_short_ema20_pullback_resume_close_confirm_fill_next_open_hard_stop_time_exit;phase12a::MNQ_12a_odpullback_long_first_pullback_OD15_ema20_retest_two_bar_resume_fill_next_open_hard_stop_time_exit;phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_first_touch_only_mt1;phase15a::MNQ_15a_power_hour_continuation_long_power_range_breakout_continuation_close_confirm_fill_next_open_hard_stop_time_exit;phase14a::MNQ_14a_prior_rth_close_rejection_from_level_long_two_bar_confirm_fill_next_open_structure_target_time_exit;phase11a::MNQ_11a_orfade_long_low_fade_OR5_opening_response_two_bar_inside_fill_next_open_hard_stop_time_exit;phase11a::MNQ_11a_orfade_long_low_fade_OR5_midday_response_close_back_inside_fill_next_open_hard_stop_time_exit;phase11a::MNQ_11a_orfade_short_high_fade_OR30_opening_response_two_bar_inside_fill_next_open_hard_stop_time_exit;phase14a::MNQ_14a_prior_rth_midpoint_rejection_from_level_short_close_confirm_fill_next_open_structure_target_time_exit;phase10b::MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf5_opening_response_all_ranges_all_gaps_all_touches_mt1,1504.24,1240.91,2014.8,1299.24,0.666667,-1742.47,205,205,-2181.33,0.386082,0.386082,0.921249,1.338417,0,462,462,2,-2441.81,-2204.28,0.333334,0.186067,0.186067,-40,False,False,True
phase15a_first,max_one_trade_per_session,exclude_high_vol_mixed_power_expand_days,10,phase15a::MNQ_15a_trend_day_late_pullback_continuation_short_ema20_pullback_resume_close_confirm_fill_next_open_hard_stop_time_exit;phase12a::MNQ_12a_odpullback_long_first_pullback_OD15_ema20_retest_two_bar_resume_fill_next_open_hard_stop_time_exit;phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_first_touch_only_mt1;phase15a::MNQ_15a_power_hour_continuation_long_power_range_breakout_continuation_close_confirm_fill_next_open_hard_stop_time_exit;phase14a::MNQ_14a_prior_rth_close_rejection_from_level_long_two_bar_confirm_fill_next_open_structure_target_time_exit;phase11a::MNQ_11a_orfade_long_low_fade_OR5_opening_response_two_bar_inside_fill_next_open_hard_stop_time_exit;phase11a::MNQ_11a_orfade_long_low_fade_OR5_midday_response_close_back_inside_fill_next_open_hard_stop_time_exit;phase11a::MNQ_11a_orfade_short_high_fade_OR30_opening_response_two_bar_inside_fill_next_open_hard_stop_time_exit;phase14a::MNQ_14a_prior_rth_midpoint_rejection_from_level_short_close_confirm_fill_next_open_structure_target_time_exit;phase10b::MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf5_opening_response_all_ranges_all_gaps_all_touches_mt1,4887.14,1060.18,5170.54,4668.14,0.666667,-1083.51,219,219,-1801.84,0.151778,0.151778,0.391288,0.565832,0,463,463,2,-1426.7,1178.62,0.333334,-0.048237,-0.048237,-26,False,False,True
