candidate_id,module_family,side,regime_variant,confirmation_model,exit_variant,fold_view,fold,start_session,end_session,net_pnl,stress_pnl,trades,active_days
MNQ_16a_high_vol_mixed_extreme_fade_long_broad_high_vol_mixed_two_bar_confirm_fill_next_open_hard_stop_time_exit,high_vol_mixed_extreme_fade,long,broad_high_vol_mixed,two_bar_confirm_fill_next_open,hard_stop_time_exit,rolling_6_month_test_folds,3,2026-01-08,2026-07-02,-460.69,-468.69,8,8
MNQ_16a_high_vol_mixed_extreme_fade_long_broad_high_vol_mixed_two_bar_confirm_fill_next_open_hard_stop_time_exit,high_vol_mixed_extreme_fade,long,broad_high_vol_mixed,two_bar_confirm_fill_next_open,hard_stop_time_exit,quarterly_folds,1,2025-07-14,2025-10-08,-155.98,-157.98,2,2
MNQ_16a_high_vol_mixed_extreme_fade_long_broad_high_vol_mixed_two_bar_confirm_fill_next_open_hard_stop_time_exit,high_vol_mixed_extreme_fade,long,broad_high_vol_mixed,two_bar_confirm_fill_next_open,hard_stop_time_exit,quarterly_folds,2,2025-10-09,2026-01-07,265.69,261.69,4,4
MNQ_16a_high_vol_mixed_extreme_fade_long_broad_high_vol_mixed_two_bar_confirm_fill_next_open_hard_stop_time_exit,high_vol_mixed_extreme_fade,long,broad_high_vol_mixed,two_bar_confirm_fill_next_open,hard_stop_time_exit,quarterly_folds,3,2026-01-08,2026-04-06,-132.46,-136.46,4,4
MNQ_16a_high_vol_mixed_extreme_fade_long_broad_high_vol_mixed_two_bar_confirm_fill_next_open_hard_stop_time_exit,high_vol_mixed_extreme_fade,long,broad_high_vol_mixed,two_bar_confirm_fill_next_open,hard_stop_time_exit,quarterly_folds,4,2026-04-07,2026-07-02,-328.23,-332.23,4,4
MNQ_16a_high_vol_mixed_extreme_fade_long_broad_high_vol_mixed_two_bar_confirm_fill_next_open_structure_target_time_exit,high_vol_mixed_extreme_fade,long,broad_high_vol_mixed,two_bar_confirm_fill_next_open,structure_target_time_exit,existing_project_folds,1,2025-12-01,2026-01-06,287.26,286.26,1,1
MNQ_16a_high_vol_mixed_extreme_fade_long_broad_high_vol_mixed_two_bar_confirm_fill_next_open_structure_target_time_exit,high_vol_mixed_extreme_fade,long,broad_high_vol_mixed,two_bar_confirm_fill_next_open,structure_target_time_exit,existing_project_folds,2,2026-01-07,2026-02-10,-127.98,-129.98,2,2
MNQ_16a_high_vol_mixed_extreme_fade_long_broad_high_vol_mixed_two_bar_confirm_fill_next_open_structure_target_time_exit,high_vol_mixed_extreme_fade,long,broad_high_vol_mixed,two_bar_confirm_fill_next_open,structure_target_time_exit,existing_project_folds,3,2026-02-11,2026-03-17,43.76,42.76,1,1
MNQ_16a_high_vol_mixed_extreme_fade_long_broad_high_vol_mixed_two_bar_confirm_fill_next_open_structure_target_time_exit,high_vol_mixed_extreme_fade,long,broad_high_vol_mixed,two_bar_confirm_fill_next_open,structure_target_time_exit,existing_project_folds,4,2026-03-18,2026-04-21,-48.24,-49.24,1,1
MNQ_16a_high_vol_mixed_extreme_fade_long_broad_high_vol_mixed_two_bar_confirm_fill_next_open_structure_target_time_exit,high_vol_mixed_extreme_fade,long,broad_high_vol_mixed,two_bar_confirm_fill_next_open,structure_target_time_exit,existing_project_folds,5,2026-04-22,2026-05-26,0.0,0.0,0,0
MNQ_16a_high_vol_mixed_extreme_fade_long_broad_high_vol_mixed_two_bar_confirm_fill_next_open_structure_target_time_exit,high_vol_mixed_extreme_fade,long,broad_high_vol_mixed,two_bar_confirm_fill_next_open,structure_target_time_exit,existing_project_folds,6,2026-05-27,2026-06-30,-328.23,-332.23,4,4
MNQ_16a_high_vol_mixed_extreme_fade_long_broad_high_vol_mixed_two_bar_confirm_fill_next_open_structure_target_time_exit,high_vol_mixed_extreme_fade,long,broad_high_vol_mixed,two_bar_confirm_fill_next_open,structure_target_time_exit,half_year_folds,1,2025-07-14,2026-01-07,109.71,103.71,6,6
MNQ_16a_high_vol_mixed_extreme_fade_long_broad_high_vol_mixed_two_bar_confirm_fill_next_open_structure_target_time_exit,high_vol_mixed_extreme_fade,long,broad_high_vol_mixed,two_bar_confirm_fill_next_open,structure_target_time_exit,half_year_folds,2,2026-01-08,2026-07-02,-460.69,-468.69,8,8
MNQ_16a_high_vol_mixed_extreme_fade_long_broad_high_vol_mixed_two_bar_confirm_fill_next_open_structure_target_time_exit,high_vol_mixed_extreme_fade,long,broad_high_vol_mixed,two_bar_confirm_fill_next_open,structure_target_time_exit,rolling_6_month_test_folds,1,2025-07-14,2026-01-07,109.71,103.71,6,6
MNQ_16a_high_vol_mixed_extreme_fade_long_broad_high_vol_mixed_two_bar_confirm_fill_next_open_structure_target_time_exit,high_vol_mixed_extreme_fade,long,broad_high_vol_mixed,two_bar_confirm_fill_next_open,structure_target_time_exit,rolling_6_month_test_folds,2,2025-10-09,2026-04-06,133.23,125.23,8,8
MNQ_16a_high_vol_mixed_extreme_fade_long_broad_high_vol_mixed_two_bar_confirm_fill_next_open_structure_target_time_exit,high_vol_mixed_extreme_fade,long,broad_high_vol_mixed,two_bar_confirm_fill_next_open,structure_target_time_exit,rolling_6_month_test_folds,3,2026-01-08,2026-07-02,-460.69,-468.69,8,8
MNQ_16a_high_vol_mixed_extreme_fade_long_broad_high_vol_mixed_two_bar_confirm_fill_next_open_structure_target_time_exit,high_vol_mixed_extreme_fade,long,broad_high_vol_mixed,two_bar_confirm_fill_next_open,structure_target_time_exit,quarterly_folds,1,2025-07-14,2025-10-08,-155.98,-157.98,2,2
MNQ_16a_high_vol_mixed_extreme_fade_long_broad_high_vol_mixed_two_bar_confirm_fill_next_open_structure_target_time_exit,high_vol_mixed_extreme_fade,long,broad_high_vol_mixed,two_bar_confirm_fill_next_open,structure_target_time_exit,quarterly_folds,2,2025-10-09,2026-01-07,265.69,261.69,4,4
MNQ_16a_high_vol_mixed_extreme_fade_long_broad_high_vol_mixed_two_bar_confirm_fill_next_open_structure_target_time_exit,high_vol_mixed_extreme_fade,long,broad_high_vol_mixed,two_bar_confirm_fill_next_open,structure_target_time_exit,quarterly_folds,3,2026-01-08,2026-04-06,-132.46,-136.46,4,4
MNQ_16a_high_vol_mixed_extreme_fade_long_broad_high_vol_mixed_two_bar_confirm_fill_next_open_structure_target_time_exit,high_vol_mixed_extreme_fade,long,broad_high_vol_mixed,two_bar_confirm_fill_next_open,structure_target_time_exit,quarterly_folds,4,2026-04-07,2026-07-02,-328.23,-332.23,4,4
MNQ_16a_high_vol_mixed_extreme_fade_long_strict_high_vol_mixed_close_confirm_fill_next_open_hard_stop_time_exit,high_vol_mixed_extreme_fade,long,strict_high_vol_mixed,close_confirm_fill_next_open,hard_stop_time_exit,existing_project_folds,1,2025-12-01,2026-01-06,0.0,0.0,0,0
MNQ_16a_high_vol_mixed_extreme_fade_long_strict_high_vol_mixed_close_confirm_fill_next_open_hard_stop_time_exit,high_vol_mixed_extreme_fade,long,strict_high_vol_mixed,close_confirm_fill_next_open,hard_stop_time_exit,existing_project_folds,2,2026-01-07,2026-02-10,0.0,0.0,0,0
MNQ_16a_high_vol_mixed_extreme_fade_long_strict_high_vol_mixed_close_confirm_fill_next_open_hard_stop_time_exit,high_vol_mixed_extreme_fade,long,strict_high_vol_mixed,close_confirm_fill_next_open,hard_stop_time_exit,existing_project_folds,3,2026-02-11,2026-03-17,0.0,0.0,0,0
MNQ_16a_high_vol_mixed_extreme_fade_long_strict_high_vol_mixed_close_confirm_fill_next_open_hard_stop_time_exit,high_vol_mixed_extreme_fade,long,strict_high_vol_mixed,close_confirm_fill_next_open,hard_stop_time_exit,existing_project_folds,4,2026-03-18,2026-04-21,0.0,0.0,0,0
MNQ_16a_high_vol_mixed_extreme_fade_long_strict_high_vol_mixed_close_confirm_fill_next_open_hard_stop_time_exit,high_vol_mixed_extreme_fade,long,strict_high_vol_mixed,close_confirm_fill_next_open,hard_stop_time_exit,existing_project_folds,5,2026-04-22,2026-05-26,0.0,0.0,0,0
MNQ_16a_high_vol_mixed_extreme_fade_long_strict_high_vol_mixed_close_confirm_fill_next_open_hard_stop_time_exit,high_vol_mixed_extreme_fade,long,strict_high_vol_mixed,close_confirm_fill_next_open,hard_stop_time_exit,existing_project_folds,6,2026-05-27,2026-06-30,0.0,0.0,0,0
MNQ_16a_high_vol_mixed_extreme_fade_long_strict_high_vol_mixed_close_confirm_fill_next_open_hard_stop_time_exit,high_vol_mixed_extreme_fade,long,strict_high_vol_mixed,close_confirm_fill_next_open,hard_stop_time_exit,half_year_folds,1,2025-07-14,2026-01-07,0.0,0.0,0,0
MNQ_16a_high_vol_mixed_extreme_fade_long_strict_high_vol_mixed_close_confirm_fill_next_open_hard_stop_time_exit,high_vol_mixed_extreme_fade,long,strict_high_vol_mixed,close_confirm_fill_next_open,hard_stop_time_exit,half_year_folds,2,2026-01-08,2026-07-02,0.0,0.0,0,0
MNQ_16a_high_vol_mixed_extreme_fade_long_strict_high_vol_mixed_close_confirm_fill_next_open_hard_stop_time_exit,high_vol_mixed_extreme_fade,long,strict_high_vol_mixed,close_confirm_fill_next_open,hard_stop_time_exit,rolling_6_month_test_folds,1,2025-07-14,2026-01-07,0.0,0.0,0,0
MNQ_16a_high_vol_mixed_extreme_fade_long_strict_high_vol_mixed_close_confirm_fill_next_open_hard_stop_time_exit,high_vol_mixed_extreme_fade,long,strict_high_vol_mixed,close_confirm_fill_next_open,hard_stop_time_exit,rolling_6_month_test_folds,2,2025-10-09,2026-04-06,0.0,0.0,0,0
MNQ_16a_high_vol_mixed_extreme_fade_long_strict_high_vol_mixed_close_confirm_fill_next_open_hard_stop_time_exit,high_vol_mixed_extreme_fade,long,strict_high_vol_mixed,close_confirm_fill_next_open,hard_stop_time_exit,rolling_6_month_test_folds,3,2026-01-08,2026-07-02,0.0,0.0,0,0
MNQ_16a_high_vol_mixed_extreme_fade_long_strict_high_vol_mixed_close_confirm_fill_next_open_hard_stop_time_exit,high_vol_mixed_extreme_fade,long,strict_high_vol_mixed,close_confirm_fill_next_open,hard_stop_time_exit,quarterly_folds,1,2025-07-14,2025-10-08,0.0,0.0,0,0
MNQ_16a_high_vol_mixed_extreme_fade_long_strict_high_vol_mixed_close_confirm_fill_next_open_hard_stop_time_exit,high_vol_mixed_extreme_fade,long,strict_high_vol_mixed,close_confirm_fill_next_open,hard_stop_time_exit,quarterly_folds,2,2025-10-09,2026-01-07,0.0,0.0,0,0
MNQ_16a_high_vol_mixed_extreme_fade_long_strict_high_vol_mixed_close_confirm_fill_next_open_hard_stop_time_exit,high_vol_mixed_extreme_fade,long,strict_high_vol_mixed,close_confirm_fill_next_open,hard_stop_time_exit,quarterly_folds,3,2026-01-08,2026-04-06,0.0,0.0,0,0
MNQ_16a_high_vol_mixed_extreme_fade_long_strict_high_vol_mixed_close_confirm_fill_next_open_hard_stop_time_exit,high_vol_mixed_extreme_fade,long,strict_high_vol_mixed,close_confirm_fill_next_open,hard_stop_time_exit,quarterly_folds,4,2026-04-07,2026-07-02,0.0,0.0,0,0
MNQ_16a_high_vol_mixed_extreme_fade_long_strict_high_vol_mixed_close_confirm_fill_next_open_structure_target_time_exit,high_vol_mixed_extreme_fade,long,strict_high_vol_mixed,close_confirm_fill_next_open,structure_target_time_exit,existing_project_folds,1,2025-12-01,2026-01-06,0.0,0.0,0,0
MNQ_16a_high_vol_mixed_extreme_fade_long_strict_high_vol_mixed_close_confirm_fill_next_open_structure_target_time_exit,high_vol_mixed_extreme_fade,long,strict_high_vol_mixed,close_confirm_fill_next_open,structure_target_time_exit,existing_project_folds,2,2026-01-07,2026-02-10,0.0,0.0,0,0
MNQ_16a_high_vol_mixed_extreme_fade_long_strict_high_vol_mixed_close_confirm_fill_next_open_structure_target_time_exit,high_vol_mixed_extreme_fade,long,strict_high_vol_mixed,close_confirm_fill_next_open,structure_target_time_exit,existing_project_folds,3,2026-02-11,2026-03-17,0.0,0.0,0,0
MNQ_16a_high_vol_mixed_extreme_fade_long_strict_high_vol_mixed_close_confirm_fill_next_open_structure_target_time_exit,high_vol_mixed_extreme_fade,long,strict_high_vol_mixed,close_confirm_fill_next_open,structure_target_time_exit,existing_project_folds,4,2026-03-18,2026-04-21,0.0,0.0,0,0
MNQ_16a_high_vol_mixed_extreme_fade_long_strict_high_vol_mixed_close_confirm_fill_next_open_structure_target_time_exit,high_vol_mixed_extreme_fade,long,strict_high_vol_mixed,close_confirm_fill_next_open,structure_target_time_exit,existing_project_folds,5,2026-04-22,2026-05-26,0.0,0.0,0,0
MNQ_16a_high_vol_mixed_extreme_fade_long_strict_high_vol_mixed_close_confirm_fill_next_open_structure_target_time_exit,high_vol_mixed_extreme_fade,long,strict_high_vol_mixed,close_confirm_fill_next_open,structure_target_time_exit,existing_project_folds,6,2026-05-27,2026-06-30,0.0,0.0,0,0
MNQ_16a_high_vol_mixed_extreme_fade_long_strict_high_vol_mixed_close_confirm_fill_next_open_structure_target_time_exit,high_vol_mixed_extreme_fade,long,strict_high_vol_mixed,close_confirm_fill_next_open,structure_target_time_exit,half_year_folds,1,2025-07-14,2026-01-07,0.0,0.0,0,0
MNQ_16a_high_vol_mixed_extreme_fade_long_strict_high_vol_mixed_close_confirm_fill_next_open_structure_target_time_exit,high_vol_mixed_extreme_fade,long,strict_high_vol_mixed,close_confirm_fill_next_open,structure_target_time_exit,half_year_folds,2,2026-01-08,2026-07-02,0.0,0.0,0,0
MNQ_16a_high_vol_mixed_extreme_fade_long_strict_high_vol_mixed_close_confirm_fill_next_open_structure_target_time_exit,high_vol_mixed_extreme_fade,long,strict_high_vol_mixed,close_confirm_fill_next_open,structure_target_time_exit,rolling_6_month_test_folds,1,2025-07-14,2026-01-07,0.0,0.0,0,0
MNQ_16a_high_vol_mixed_extreme_fade_long_strict_high_vol_mixed_close_confirm_fill_next_open_structure_target_time_exit,high_vol_mixed_extreme_fade,long,strict_high_vol_mixed,close_confirm_fill_next_open,structure_target_time_exit,rolling_6_month_test_folds,2,2025-10-09,2026-04-06,0.0,0.0,0,0
MNQ_16a_high_vol_mixed_extreme_fade_long_strict_high_vol_mixed_close_confirm_fill_next_open_structure_target_time_exit,high_vol_mixed_extreme_fade,long,strict_high_vol_mixed,close_confirm_fill_next_open,structure_target_time_exit,rolling_6_month_test_folds,3,2026-01-08,2026-07-02,0.0,0.0,0,0
MNQ_16a_high_vol_mixed_extreme_fade_long_strict_high_vol_mixed_close_confirm_fill_next_open_structure_target_time_exit,high_vol_mixed_extreme_fade,long,strict_high_vol_mixed,close_confirm_fill_next_open,structure_target_time_exit,quarterly_folds,1,2025-07-14,2025-10-08,0.0,0.0,0,0
MNQ_16a_high_vol_mixed_extreme_fade_long_strict_high_vol_mixed_close_confirm_fill_next_open_structure_target_time_exit,high_vol_mixed_extreme_fade,long,strict_high_vol_mixed,close_confirm_fill_next_open,structure_target_time_exit,quarterly_folds,2,2025-10-09,2026-01-07,0.0,0.0,0,0
